Samsung_Smartphone,Samsung_Smart_TV_43in,Samsung_Smart_Watch,Samsung_Washing_Machine,Samsung_AC_1.5_Tonne
92625,61060,34831,35968,52088
43042,41473,8802,21753,62704
59151,49827,10210,35263,37246
87162,38660,35547,45014,42885
75305,33827,25634,38562,59012
21593,53421,24683,50554,48851
97562,34183,11433,42141,46920
22407,58602,18257,44183,48073
59842,40189,27863,35316,35665
58869,60477,15084,27494,40717
76643,43510,12251,50060,64153
32132,43521,5204,40419,52085
34329,57113,21314,49908,42946
73293,47930,14421,39256,63092
32211,37362,28770,35226,46146
51670,62275,14219,26012,37588
71404,42588,11203,33919,64412
64600,32416,33951,38722,52660
36362,44980,34292,51174,55084
41736,50088,22930,46142,30032
103476,51377,31861,36596,42847
50345,61419,11476,35079,62991
22112,48967,17657,20472,38227
36918,38318,12520,32778,59329
43930,39811,18042,55415,55627
117880,32298,26101,42931,45635
41665,56450,28023,36877,59903
19333,32606,4359,47553,61659
54530,51228,16236,19555,59053
26610,50906,37657,53095,46410
40073,58776,20509,41618,50723
111812,30580,14467,18461,43557
69017,37446,16226,41798,37091
22930,66218,14967,23649,60613
50346,50028,17395,39864,65881
33799,46253,17331,31455,33118
30142,56980,18642,28816,53235
59718,65693,17743,39544,63241
54043,39862,18843,34764,51215
72431,65615,6525,22620,32278
89215,32768,7915,45862,29096
38531,73154,15881,30476,48814
93967,35725,29683,39275,62648
54871,39983,26090,39036,42712
39225,32037,9993,22109,44852
83161,59695,18383,58262,56449
20828,74245,20875,35072,56639
57739,41106,18093,28594,62877
70505,42100,23274,34826,57950
40399,40456,38408,38868,50882
85340,35239,9544,16654,62575
38159,58872,18830,31435,51371
82461,29543,18761,37160,51063
26099,71773,19880,41460,29176
32973,67645,11610,31792,47636
46193,33328,21710,34066,31951
84162,48567,7437,29110,60454
31843,76125,24525,31239,28432
86891,62407,22348,41245,43584
37533,55541,15113,32422,67892
50588,25804,36808,30863,56419
44528,30127,27415,31392,55231
29743,59201,19361,39124,53924
97862,43762,37037,37772,32592
49686,53612,27463,34136,43006
67797,56596,10826,39661,56531
58863,45165,20550,39953,60304
53781,34665,20309,18434,44844
61912,44084,22082,32468,42083
90090,63544,32597,29827,41290
68560,42285,18323,46135,49830
55858,29694,8861,30744,43108
64121,70735,18054,31898,29899
61146,54104,25989,37196,45966
49370,48948,15642,37435,49958
62536,61056,6469,45417,51856
50024,44834,14603,33685,44642
73815,74409,22853,30907,43791
103460,62705,9179,39006,42870
101206,40513,15974,42516,51587
80281,43591,10688,57114,42862
60800,40337,17982,39277,61349
73033,53253,10926,36064,42801
34239,52479,9957,25943,56282
52290,48333,23280,56164,43965
39139,71530,11375,41174,51868
13396,46710,11290,27186,53541
102891,58688,20585,35345,39006
85385,53204,7399,37759,45675
54582,48191,6827,28971,36980
38960,27946,17067,42651,48968
68020,53180,15766,40166,60971
49475,52603,19476,29504,50937
78400,33686,37545,56605,53613
117940,59297,17133,52400,42844
44315,46543,20197,30458,47951
38399,42050,31357,34940,54725
39704,60772,18135,49120,37153
27551,42694,25771,34122,36701
46976,51819,19567,52870,40889
